channel_id,title,subscriber_count,discovery_method,first_seen_at,description,engagement_rate,cadence,velocity
UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,948000,keyword,2026-08-14 18:35:16.166455+03:00,"My name is Jeremy Lefebvre and I created the Financial Education Channel as somewhere people from all backgrounds, countries etc can come and learn about Investing, Personal Finance and entrepreneurship!

Apply to join my private Stock group & Wealth Group with this link

FAQ
*What do you do each day?
Now a days I focus most of my time on finding the next home run stocks, running my stock portfolios, help my private stock group members reach 6 figure, 7 figure and 8 figure milestones, and lastly record Youtube videos! I use to have a real estate marketing company before youtube took off. Before that I was a manager for a company named Quiktrip.

*Wife Kids?
Yes I have a beautiful wife and 2 awesome little boys

*When did you start the Financial Education channel?
I started in  2016

*Any advice to retail investors?
Do Research and watch my videos on investing!",0.060132,11.1,0.7414
UCDXTQ8nWmx_EhZ2v-kp7QxA,Ben Felix,624000,both,2026-08-14 18:35:17.387142+03:00,"I post videos on investing, financial decision-making, and living a good life.

My name is Ben Felix. I am a Portfolio Manager and the Chief Investment Officer at PWL Capital. I am a CFA charterholder and CFP professional. I am securities licensed in Canada by CIRO.

All channel content is produced and owned by PWL Capital Inc.
",0.034176,1.79,0.789
UC9TwYQOO9mAxoF4v8ZioySg,Tom Crosshill,232000,both,2026-08-14 18:35:46.203883+03:00,"I'm a professional investor with 18 years of experience. Today, I run a training program for beginning European investors (both locals and expats). 

Let me show you how to get on the road to financial freedom through passive investing – follow the links below!

Important note: 

All the content on this channel is for educational purposes only and does not constitute investment advice. Any examples of investments, investment firms, or strategies are provided purely for illustrative purposes and are not endorsements. This content does not take into account your personal financial situation or risk profile. Investing involves risk, and you should do your own research or consult a licensed financial advisor before making any decisions.  
",0.023112,4.29,0.4663
UCDdVWGejfB3_M57sWv3yniQ,ProudMoney - Credit Cards & Personal Finance,112000,both,2026-08-14 18:35:47.892732+03:00,https://www.ProudMoney.com - Learn about a variety of financial products and concepts from your favorite talking head.,0.044586,5.52,1.128
UCMw07uiVxGULqePlrOZnx9A,Personal Finance with Leila - Debt Over It,64000,both,2026-08-14 18:35:41.120238+03:00,"I help overwhelmed individuals get control of their money and build better habits so they can pay off debt, save consistently, and feel confident about their finances! 🤑

My name is Leila (pronounced Lay-La) and on this channel I document my own journey to financial freedom while also creating educational and entertaining content around money.

I offer financial coaching to help you budget, create a saving plan and get out of debt: https://debtoverit.com/coaching/
",0.051232,15.07,0.9751
UC-5JG7ApVwWgIIg0bDSy5_Q,Personal Finance Insider,27400,both,2026-08-14 18:35:35.248801+03:00,"What you want to know about personal finance. A section of Insider. 

Visit our homepage for the top stories of the day: https://www.businessinsider.com
Insider Business on Facebook: https://www.facebook.com/businessinsider
Insider Business on Instagram: https://www.instagram.com/insiderbusiness
Insider Business on Twitter: https://www.twitter.com/businessinsider
Insider Business on Snapchat: https://www.snapchat.com/discover/Business_Insider/5319643143
Insider Business on TikTok: https://www.tiktok.com/@businessinsider

If you have a permissions or licensing request, please connect with our partners at PARS International who will be able to provide you with an accurate quote for the overall usage rights that you’re interested in. A representative from PARS will contact you shortly after filling out this request form: https://www.parsintl.com/publications/insider/
",0.014669,0.94,0.0052
UCgqU4kDON1LwuBbtmlSO9-g,Panda Boss - Personal Finance & Bossing Life,23700,both,2026-08-14 18:35:29.025287+03:00,"I'm Anna, I'm a Chartered Accountant studying to be a Financial Advisor and I talk about beginners investing, personal finance & bossing life. So essentially, everything to do with getting out of debt, investing, saving, becoming financially independent, organising your life, becoming successful in your job etc! 
If you like what you see, please do subscribe and say hello :)
You can also find me on social media under @pandabossanna
",0.05625,8.11,0.9071
UChWBKpyL-WNwnuMdrpUvR_Q,Shihab Personal Finance,10800,both,2026-08-14 18:35:26.808731+03:00,"CPA from Montreal trying to add value to my subscribers and viewers by sharing knowledge from my life experience.  

The channel is mostly about personal finance and my pursuit of financial freedom.

I have many tutoral videos on Questrade and how to trade options.  I also share my weekly progress with option selling.

Enjoy.  Open to all feedback and discussion.

Questrade: Get $50 in free trades with Questrade
http://www.questrade.com/?refid=hxv3wpa7",0.052448,3.62,1.8293
UC8hRZgzTh25ZgpStQCBWOLg,Info Sphere - Personal Finance & Wealth Building,5600,both,2026-08-14 18:35:21.131360+03:00,"Info Sphere – Your Financial Partner for Wealth, Savings & Growth

Hey there! 👋 Welcome to Info Sphere, where we make personal finance simple and wealth-building achievable for everyone. Whether you're starting your investment journey, exploring passive income ideas, or looking to save smarter, we've got you covered.  

What You’ll Learn: 
📈 Investing Made Easy: Stocks, mutual funds, SIPs, and real estate strategies for beginners and pros.  
💰 Passive Income Ideas: Discover ways to earn money while you sleep.  
📊 Money Management: Practical budgeting, saving hacks, and debt-free tips tailored for Indian audiences.  
🚀 Wealth Building Roadmap: Step-by-step guides to grow and sustain your money.  

We believe everyone deserves financial freedom—and we’re here to help you achieve it with relatable, real-world advice.  

Why Join Us? 
Simple, Actionable Tips for everyone.
Weekly Videos full of insights, strategies, and proven ways.  
A Growing Community of wealth-builders just like YOU.  
",0.010203,2.67,0.2085
UCzpRYPsbgfIRxTxYyuq1UoA,Alex Personal Finance,3990,both,2026-08-14 18:35:36.617787+03:00,Hey guys! My name is Alex and my channel is all about personal finances!,0.0,0.0,1.0
