channel_id,title,subscriber_count,discovery_method,first_seen_at,description,engagement_rate,cadence,velocity
UCEAAzv2OBqxsSczKJ2QZyGQ,Pushkar Raj Thakur: Stock Market Educator 📈,15200000,keyword,2026-08-14 19:09:25.699321+03:00,"Pushkar Raj Thakur is India's Leading Stock Market Educator, Finance Influencer & Business Coach. 

He is a Guinness World Record Holder for the Largest Financial Investment Lesson and Largest Social Media Marketing Lesson. 

With Millions of  Followers on all major Social Media Platforms, he is known for his versatile knowledge of Financial Education, the Stock Market, Personal Mastery, Sales, Marketing, Human Psychology and Business Development.

- NISM Certified Research Analyst

- NISM Certified Mutual Fund Distributor

- IRDA Certified",0.043321,40.81,0.9715
UCe3qdG0A_gr-sEdat5y2twQ,CA Rachana Phadke Ranade,5400000,keyword,2026-08-14 19:09:17.093739+03:00,"To Learn Stock Market in simplified language checkout our courses:

Beginner Level: 
1. Mastering Money Management 
2. Basics of Stock Market
3. Magic of Mutual Funds

Intermediate Level:
4. Fundamental Analysis
5. Technical Analysis

Advance Level:
6. Art of Value Investing
7. Futures & Options
8. Decoding Price Action Analysis

Membership:
Pro Investor Membership (Yearly)

Visit: www.rachanaranade.com to know more about the courses.
For support, message us on WhatsApp at +91 97635 04342 or email at support@rachanaranade.com

For business and collaboration opportunities, reach out at: +91 8830445446 | Email: brands@rachanaranade.com
",0.025034,26.37,0.471
UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,5180000,unattributed,2026-08-14 18:58:01.944944+03:00,"As a 34 year old real estate investor who started working in real estate shortly after turning 18, with over $120,000,000 in residential sales since 2008, I've created this channel to share my successes, failures, and experiences in real estate, personal finance, and investing news. I'm also obsessed with frugality and credit card churning...a lot. So Subscribe! Because all the cool kids are doing it.  

Feel free to follow me on Snapchat / Instagram: GPStephan",0.022595,23.83,1.334
UCxmorbDaKl3yM5si8UsDqfg,Money Saving Man,3830000,keyword,2026-08-14 19:15:59.205711+03:00,"Welcome to my YouTube channel！🎉🎉
Tests & Hacks & Tricks & Experiments✨

TikTok : 1.3M
Instagram: intend
Please subscribe to me🙏

TikTok：@money.saving.man
YouTube：@MoneySaving_Man
Instagram：@moneysaving.man
Facebook: @moneysaving.man

⚠️I have many imposters, please don't trust other accounts！

👇🏻Product link in LinKtree👇🏻",0.022994,2.19,0.2106
UCwVEhEzsjLym_u1he4XWFkg,Finance With Sharan,3730000,keyword,2026-08-14 18:57:55.164698+03:00,"Sharan Hegde is the founder and CEO of 1% Club- a fintech app building AI CFO for every Indian.

SEBI RIA- INA000018896

Sharan Hegde simplifies personal finance, investing, taxation, insurance, credit cards, and retirement planning - making money more actionable and less intimidating.

With 9M+ followers across platforms and 7L+ learners educated through 1% Club, Sharan has built India's most trusted personal finance education brand. 1% Club has since evolved into an AI-powered fintech app that helps users invest, plan, and manage money in one place - a modern replacement for your bank RM.

Featured in Forbes, Economic Times, Mint, and Times of India, Sharan is a Columbia MBA dropout based in Mumbai.
Subscribe to learn how money actually works.
",0.016261,56.01,0.583
UCGy7SkBjcIAgTiwkXEtPnYg,Andrei Jikh,3350000,unattributed,2026-08-14 18:57:54.060016+03:00,"I will NEVER contact you for business or promotions (even if it comes from my legit email). I will not use IG, Telegram, or whatsapp to reach out - please ignore and report those accounts. 

I'm like Harry Potter - if he was a financial minimalist, did card tricks and worried about money. Biz inquiries: andrei@majikh.com
",0.028275,36.55,1.2
UCT3EznhW_CNFcfOlyDNTLLw,Minority Mindset,2510000,unattributed,2026-08-14 18:57:50.345268+03:00,"What's up everybody? I am Jaspreet Singh.

I'm the founder/Chief Executive Money Nerd at Briefs Media - https://www.briefs.co

On YouTube, I'm the host of The Minority Mindset Show. I'm on a mission to help spread financial education. Say goodbye to boring personal finance! 

Check out our website: https://www.theminoritymindset.com

NEW VIDEOS EVERY WEEK! Subscribe so you don't miss our newest videos.
",0.039142,21.43,0.3316
UCqW8jxh4tH1Z1sWPbkGWL4g,Akshat Shrivastava,2270000,keyword,2026-08-14 19:09:23.074463+03:00,,0.021232,7.54,0.553
UCQpPo9BNwezg54N9hMFQp6Q,Nischa,2240000,keyword,2026-08-14 18:58:17.891834+03:00,"Reserve your seat for my free investing workshop: https://link.nischa.me/investytb

I’m a former Investment Banker (with an accountancy qualification) and on this channel we explore all things personal finance, self development and business.
",0.030218,11.63,1.6104
UCBayuhgYpKNbhJxfExYkPfA,Ross Cameron - Warrior Trading,2090000,keyword,2026-08-14 19:09:32.254998+03:00,"Ross Cameron is best known for turning $583.15 into over $18 million day trading. His results are NOT typical. Most day traders lose money. But Ross isn't an average day trader. Here on YouTube you can learn from Ross. We hope you enjoy it!

You should not watch our videos if you don't agree to our full disclaimer found here: https://www.warriortrading.com/disclaimer/.  

No Recommendations or Advice Provided – Contact Your Own Investment, Tax or Legal Adviser

Day Trading is a high risk activity and can result in the loss of your investment. Any trade or investment is at your own risk. Warrior Trading may express or utilize testimonials or descriptions of past performance, but such items are not indicative of future results or performance, or any representation, warranty or guaranty that any result will be obtained by you. Your results may differ materially from those expressed or utilized by Warrior Trading due to a number of factors.  This does not represent our full Disclaimer.",0.060256,63.47,0.5455
UCFBpVaKCC0ajGps1vf0AgBg,Humphrey Yang,2070000,keyword,2026-08-14 19:00:03.732560+03:00,"Former Financial Advisor (Series 7, 66), Previously worked in Gaming. Explainers, Personal Finance, Reviews & More.

My friends would ask me finance questions all the time, so I made this channel so I could send them videos answering those questions. I love explaining things simply, and making it fun and easy. This channel is great for beginners and intermediates who are looking to build wealth, learn how to keep their wealth, and get better with personal finance, budgeting, and investing. I also focus a lot of self improvement and productivity, so if you're into that - I hope you stick around!

Partnerships inquiries - please email:
humphrey@wmeagency.com
",0.026026,17.88,0.5766
UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,2050000,unattributed,2026-08-14 19:05:07.226252+03:00,"Hey everyone, Meet Kevin here! I want you to always remember one thing about me: I BELIEVE in ""providing more"" in everything. ALWAYS provide more. I’m a dad of 7 amazing kids and have been with my incredible wife for over 16 years. Family is my anchor.

I thrive on learning, growing, and giving back. I’ve built my career on mastering the tools of success and helping others do the same. That’s why I’ve earned a diverse range of licenses to expand what I do and deliver value at every opportunity. I’m a licensed real estate broker and financial advisor.

I’ve spent the last 15+ years studying markets, investing, and building businesses, but I’m just getting started.

See ya soon!
Kevin
",0.022226,93.45,1.1899
UChneGqGy_lmvfcR1v_avL6g,Stock Market का Commando,2040000,keyword,2026-08-14 19:09:36.777916+03:00,"Hello everyone I am  Founder & CEO of ""SMkC"" channel (Stock Market का Commando)
In this channel you will get ""stock market knowledge"" ""stock market updates"" ""stock market latest news"" ""stock market news"" ""stock market fundamental analysis"" ""stock market technical analysis"" ""stock market charts"" ""stock market for beginners"" ""stock market in Hindi"" ""stock market related guidance"" etc... 

This channel is only for education and knowledge purpose  

IMP Note : 
There is No Paid Membership , No Join Button , No Website / Instagram / FB / Whats app group / telegram or any other social media . ( if u found any than its fake ) 
( we have 3 Official YouTube Channels ONLY i.e. SMKC , SMC & Let's Learn Stock Market & Finance 
& All are 100% FREE ) 

I am not a SEBI registered.
I am just keeping my point of view about stock market and shares.
Hence before taking any decision consult or discuss with u r financial Advisor.

Happy Learning :)",0.081394,87.84,0.513
UC2zVhoKml5z9cGsiptWxCgA,Casper Capital,1760000,keyword,2026-08-14 19:12:01.924691+03:00,"Partnerships@caspercapital.co

I make videos about personal finance, side hustles, credit, and investing 💸
",0.035222,19.01,0.2055
UCSPYNpQ2fHv9HJ-q6MIMaPw,The Financial Diet,1340000,unattributed,2026-08-14 18:58:00.196380+03:00,"The Financial Diet helps you rethink your relationship with money, culture, and class.

Education & commentary on the systems we interact with every day, from influencer culture, to economic systems, to financial privilege.

Talk to us at hello@thefinancialdiet.com",0.051614,30.6,0.5631
UCFCEuCsyWP0YkP3CZ3Mr01Q,The Plain Bagel,1200000,unattributed,2026-08-14 19:05:17.101744+03:00,"Investing and personal finance educational videos with a hint of economics, posted regularly.

I'm a CFA charterholder and CFP professional working as an analyst for an investment management company in Ottawa. I'm a huge finance nerd and am passionate about the field - I think people lack the resources they need to make educated financial decisions, and hopefully this channel helps with that!

For collaboration/other inquiries: richard@theplainbagel.com

For sponsorships:
sponsorships@theplainbagel.com

DISCLAIMER:
The videos on this channel are for education purposes only and do not constitute financial advice. Richard Coffin does not provide recommendations on The Plain Bagel - those looking for investment advice should seek out a registered professional. Richard is not responsible for investment actions taken by viewers and his content should not be used as a basis for investment trades.",0.042077,2.5,1.1543
