channel_id,title,subscriber_count,discovery_method,first_seen_at,description,engagement_rate,cadence,velocity
UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,5180000,unattributed,2026-08-14 18:58:01.944944+03:00,"As a 34 year old real estate investor who started working in real estate shortly after turning 18, with over $120,000,000 in residential sales since 2008, I've created this channel to share my successes, failures, and experiences in real estate, personal finance, and investing news. I'm also obsessed with frugality and credit card churning...a lot. So Subscribe! Because all the cool kids are doing it.  

Feel free to follow me on Snapchat / Instagram: GPStephan",0.022592,23.83,1.3382
UCwVEhEzsjLym_u1he4XWFkg,Finance With Sharan,3730000,keyword,2026-08-14 18:57:55.164698+03:00,"Sharan Hegde is the founder and CEO of 1% Club- a fintech app building AI CFO for every Indian.

SEBI RIA- INA000018896

Sharan Hegde simplifies personal finance, investing, taxation, insurance, credit cards, and retirement planning - making money more actionable and less intimidating.

With 9M+ followers across platforms and 7L+ learners educated through 1% Club, Sharan has built India's most trusted personal finance education brand. 1% Club has since evolved into an AI-powered fintech app that helps users invest, plan, and manage money in one place - a modern replacement for your bank RM.

Featured in Forbes, Economic Times, Mint, and Times of India, Sharan is a Columbia MBA dropout based in Mumbai.
Subscribe to learn how money actually works.
",0.016247,56.01,0.5878
UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,3610000,keyword,2026-08-14 19:30:01.733788+03:00,"Having the conversations that I wish someone had with me over a decade ago.

Top 10 viewed/listened to podcast online- #1 in Finance. #1 membership on YouTube. 

Download Dollarwise.
",0.031482,106.83,0.237
UCGy7SkBjcIAgTiwkXEtPnYg,Andrei Jikh,3350000,unattributed,2026-08-14 18:57:54.060016+03:00,"I will NEVER contact you for business or promotions (even if it comes from my legit email). I will not use IG, Telegram, or whatsapp to reach out - please ignore and report those accounts. 

I'm like Harry Potter - if he was a financial minimalist, did card tricks and worried about money. Biz inquiries: andrei@majikh.com
",0.028273,36.55,1.2006
UCQpPo9BNwezg54N9hMFQp6Q,Nischa,2240000,keyword,2026-08-14 18:58:17.891834+03:00,"Reserve your seat for my free investing workshop: https://link.nischa.me/investytb

I’m a former Investment Banker (with an accountancy qualification) and on this channel we explore all things personal finance, self development and business.
",0.030225,11.63,1.6114
UC2zVhoKml5z9cGsiptWxCgA,Casper Capital,1760000,keyword,2026-08-14 19:12:01.924691+03:00,"Partnerships@caspercapital.co

I make videos about personal finance, side hustles, credit, and investing 💸
",0.035223,19.01,0.2059
UCoUxsWakJucWg46KW5RsvPw,Financial Times,1440000,keyword,2026-08-14 19:33:30.037646+03:00,"Interested in unbiased global news and want to make sense of a changing world? The Financial Times YouTube channel showcases the best of our visual journalism, going beyond the headlines to help you navigate the world’s new agenda. Our stories will inform and inspire you to lead the way in business and beyond, to rethink existing political and economic models and follow crucial trends. Join us and gain deeper insight into the news. 

Copyright The Financial Times Ltd 2019. FT and 'Financial Times' are trademarks of The Financial Times Ltd. Please do not copy or redistribute FT videos otherwise than in accordance with YouTube's Terms of Service. If you wish to purchase rights to syndicate FT videos, please contact syndication@ft.com.

",0.030815,65.35,0.1838
UCSPYNpQ2fHv9HJ-q6MIMaPw,The Financial Diet,1340000,unattributed,2026-08-14 18:58:00.196380+03:00,"The Financial Diet helps you rethink your relationship with money, culture, and class.

Education & commentary on the systems we interact with every day, from influencer culture, to economic systems, to financial privilege.

Talk to us at hello@thefinancialdiet.com",0.0516,30.6,0.565
UCL_v4tC26PvOFytV1_eEVSg,Marko - WhiteBoard Finance,1030000,unattributed,2026-08-14 19:33:55.325183+03:00,"My mission is to provide my viewers with actionable content that enables them to create financial wealth. My videos are a reflection of my real-world experience as a real estate investor, stock market investor, student of finance, and entrepreneur. 

This channel allows me to share my passion for personal finance, stock market investing, real estate investing, and entrepreneurship. I produce content that I would want to watch, and because of that, I give 100% effort in every video that I make. I also believe in complete transparency and open communication with my audience.

Business inquiries - please email:
sponsorships@whiteboardfinance.com

My FREE 7 Day Money Roadmap:
https://whiteboardfinance.com/roadmap

Join My Private Community:
www.wbfuniversity.com

Follow me on:
Instagram - https://www.instagram.com/whiteboardfinance
",0.05023,3.39,0.227
UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,948000,keyword,2026-08-14 18:58:12.731806+03:00,"My name is Jeremy Lefebvre and I created the Financial Education Channel as somewhere people from all backgrounds, countries etc can come and learn about Investing, Personal Finance and entrepreneurship!

Apply to join my private Stock group & Wealth Group with this link

FAQ
*What do you do each day?
Now a days I focus most of my time on finding the next home run stocks, running my stock portfolios, help my private stock group members reach 6 figure, 7 figure and 8 figure milestones, and lastly record Youtube videos! I use to have a real estate marketing company before youtube took off. Before that I was a manager for a company named Quiktrip.

*Wife Kids?
Yes I have a beautiful wife and 2 awesome little boys

*When did you start the Financial Education channel?
I started in  2016

*Any advice to retail investors?
Do Research and watch my videos on investing!",0.060111,11.1,0.7455
